Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
FuselageGeom,791720.534382,778365.029829,42889152.939875,42552035.518068
MainWingGeom,2923981.523642,2730647.350564,29609137.455529,27904754.946812
HorizontalTailGeom,308648.363848,294064.000550,1475036.144841,1418214.785525
LeftUpperVerticalTailGeom,102275.852033,99803.179724,481165.120105,473834.712738
LeftLowerVerticalTailGeom,149803.340260,146815.118392,951376.334014,940942.511912
RightUpperVerticalTailGeom,102275.852033,98339.453661,481165.120105,466885.392882
RightLowerVerticalTailGeom,149803.340260,145351.392329,951376.334014,931561.447527
FuselageGeom,88288.632305,77155.531174,660136.712656,582180.462253
FuselageGeom,88288.632305,77155.531174,660136.712656,582180.462253
Totals,4705086.071070,4447696.587395,78158682.873793,75852590.239971

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
FuselageGeom_S_Surf0,791720.534382,778365.029829
MainWingGeom_S_Surf0,1461990.761821,1365323.530432
MainWingGeom_S_Surf1,1461990.761821,1365323.820132
HorizontalTailGeom_S_Surf0,154324.181924,147032.000275
HorizontalTailGeom_S_Surf1,154324.181924,147032.000275
LeftUpperVerticalTailGeom_S_Surf0,102275.852033,99803.179724
LeftLowerVerticalTailGeom_S_Surf0,149803.340260,146815.118392
RightUpperVerticalTailGeom_S_Surf0,102275.852033,98339.453661
RightLowerVerticalTailGeom_S_Surf0,149803.340260,145351.392329
FuselageGeom_S_Surf0,88288.632305,77155.531174
FuselageGeom_S_Surf0,88288.632305,77155.531174
