wing_area_m2,cruise_speed_mps,cruise_speed_kt,endurance_h,wing_span_m,wing_chord_m,chord_scale
0.703439,21.514813,41.821450,3.413132,4.493369,0.156551,0.600000
0.807652,20.284713,39.430327,3.800322,4.493369,0.179743,0.688889
0.911866,19.325187,37.565158,4.128033,4.493369,0.202936,0.777778
1.016079,19.641742,38.180493,4.459227,4.493369,0.226129,0.866667
1.120292,17.931702,34.856440,4.670843,4.493369,0.249321,0.955556
1.224505,17.375201,33.774689,4.590733,4.493369,0.272514,1.044444
1.328719,16.887136,32.825966,4.493634,4.493369,0.295707,1.133333
1.432932,16.463483,32.002450,4.383985,4.493369,0.318899,1.222222
1.537145,17.281434,33.592420,3.913865,4.493369,0.342092,1.311111
1.641358,15.706757,30.531493,4.159013,4.493369,0.365285,1.400000
